rater,pearson,spearman
1,0.2336091495728288,0.28642956436239897
2,0.4325726127007165,0.4685193191587062
3,0.5717345250743604,0.5906111652550037
4,0.41510988414915967,0.3967756370441554
5,0.5172994150889648,0.5157481446245695
6,0.20847044116611463,0.28144144138993077
7,0.11999916569600613,0.08688193257102364
8,0.35044225873919777,0.2846256356909147
9,0.24156350559351497,0.16631581533096532
10,0.42619014447882075,0.426479799429084
11,0.4857905412939213,0.43114252876397813
12,0.49033525064464023,0.47049909943374985
13,0.29186579626668147,0.2979893661701993
14,0.4548034527235471,0.47470697743768014
15,0.6439419736707928,0.6511682870362075
16,0.20585531385753206,0.20878716851871304
17,0.5450806935840086,0.5127087388657134
18,0.4084627724259606,0.35867713737348755
19,0.3240572634457384,0.29275373565497453
20,0.35250071791940263,0.3436468643349654
21,0.4294110567493336,0.4073399692927205
22,-0.10464736689932143,-0.1413293988776382
23,-0.033550648596046076,-0.020104674040161304
24,0.6308209362649478,0.6160871968689605
25,0.1823193677081546,0.19102113967936377
26,0.6216943589262035,0.5971101853562182
27,0.1995757882117028,0.1942268815108183
28,0.3432382529224652,0.3084655657025868
29,0.4593421259426336,0.47835024224207295
30,0.542384932517606,0.5474987150127031
31,0.48090152533668806,0.49688341680884124
32,0.3087458385461712,0.20884642037645373
33,0.6102558218431754,0.5693204102347565
34,0.32566052764425624,0.3463581329759871
35,0.4597073105373666,0.40639460804297894
36,0.1816994884708787,0.2697768501486525
37,0.44486849188436495,0.4211416879869588
38,0.41451896308021363,0.33632632381623345
39,0.5903545503483913,0.5260433672764606
40,-0.20438606222978897,-0.2263056218049317
41,0.002261927180877199,0.05552740824341199
42,0.002270278903993249,0.021160461875527583
43,0.22099740952210165,0.2608220428789209
44,0.44851091924180214,0.4164041852360743
45,0.5364127807426142,0.5848733625743733
46,0.4388150590171319,0.45147537887923367
