rater,pearson,spearman
1,0.21801878236722294,0.1839103022249035
2,0.015996701708406613,0.0032444412946436227
3,0.3806048840721496,0.3550851033774059
4,0.1411938210203586,0.12806654471791978
5,0.28653087690598217,0.3186020961673962
6,0.25837681320166805,0.1487631291561638
7,0.07858019843418448,0.07340546946250778
8,0.12627764007159817,0.1333153999091987
9,0.07157427658413851,0.10383831072604865
10,0.29477432024513706,0.26051066135648343
11,0.0525413579073646,0.019792417853370426
12,0.34511628426520163,0.41906390022926654
13,-0.11292966941691394,-0.09282270596950533
14,0.12324090542779467,0.19144106514750248
15,0.28038313097779455,0.23795596045966058
16,-0.23353431104265948,-0.24008227491109443
17,0.34349652487377713,0.30824684300283317
18,-0.14762042010318555,-0.14614618592540296
19,0.29195290964810655,0.18732949714102023
20,-0.11878124289027904,-0.15892694680259883
21,0.26705659418438793,0.23590095960934862
22,0.04793558496304546,0.08286005885809918
23,-0.21372458239602182,-0.19999732060281342
24,0.5116013771587604,0.49074445329844535
25,0.06416870924654325,0.012921694825748556
26,0.27863188559011104,0.29501165657952816
27,0.24157618005413123,0.26241505874100624
28,0.12199348788138567,0.18703077092622278
29,0.3540672971179938,0.4010171370746204
30,0.30830846274092666,0.3428525272587133
31,0.2749886108913152,0.26443272259793454
32,0.050215248727113616,0.15837520211881076
33,0.5173178115111072,0.45820799764278236
34,0.23404498812451846,0.28381744145429044
35,0.392888226315446,0.37158892925017867
36,0.11620367140426105,0.1868695398132058
37,0.22344064066718206,0.2736408950273623
38,0.2724639608665815,0.12996060777172766
39,0.5138531922342255,0.44168870629949636
40,0.15167319053776296,0.19764683127068267
41,0.08772700613937577,0.05871295688645639
42,0.23218716471063588,0.19167571815292714
43,0.18035147835059626,0.19749262053779343
44,0.48292971084570824,0.4540682459938674
45,0.3169521772958716,0.3469925745813866
46,0.15419987741777344,0.043354236456424354
